id,text,edit_history_tweet_ids
1872937104667492784,"""Israeli forces stormed Kamal Adwan Hospital in northern Gaza, forcibly removing patients, the injured, medical staff and journalists.
- the largest medical facility in Beit Lahia, serving over 400,000 residents - was set ablaze by Israeli forces.
#RealMadrid #PremierLeague https://t.co/VKytNYqFxM",1872937104667492784
1872935972427710651,"Ronaldo Calls It ""Unfair"" That Vinicius Missed Out on the Ballon d'Or

Read more
https://t.co/8nhlYENpC7

#CristianoRonaldo #ViniciusJunior #BallonDor #FootballControversy #Rodri #RealMadrid https://t.co/zzLcxt3Z5z",1872935972427710651
1872934702019187094,"🔴&gt;⚪️Trent Alexander-Arnold has to JOIN Real Madrid as a free agent confirmed. 

According to Spanish Media outlet Marca

#transfer #soccer #futebol #realmadrid #transfernews #faltyfootball https://t.co/QoLTBh7dar",1872934702019187094
1872932694449180960,"Barcelona and Real Madrid stars spend their break at a Dubai zoo! 🐅🦅

#RealMadrid #Barcelona #Football https://t.co/76A0EznU3R",1872932694449180960
1872931977411600515,"Trent Alexander-Arnold Exit: Real Madrid Beckons as Liverpool Face an Uncertain Future 
#alexanderarnold #premierleague #liverpool #realmadrid #transfer
https://t.co/Sfms1blCJo",1872931977411600515
1872930784270791129,"He wants to be in line with Kylian Mbappe's salary.

https://t.co/Qzhfl8ZRIp

#RealMadrid",1872930784270791129
1872930578221167062,"🚨 TRENT ALEXANDER-ARNOLD LINKED WITH REAL MADRID MOVE

Reports suggest that Trent Alexander-Arnold’s contract talks with Liverpool are stalling, with the right-back reportedly eyeing a move to Real Madrid at the end of the season.

#TrentAlexanderArnold #LFC #RealMadrid… https://t.co/cndaJjFevC https://t.co/rdGfoKYd88",1872930578221167062
1872929304491020370,Real Madrid have ended their interest in young River Plate midfielder Franco Mastantuono.  #RealMadrid,1872929304491020370
1872927971125625050,"As per Diario AS, #RealMadrid will make a contract offer to Vinicius Junior at the end of the season. https://t.co/kL3ZcSmUkg",1872927971125625050
1872927117740278183,"This jersey is not looking good on him as the Liverpool did 😂

Anyway welcome to galatico hope you got some other hidden tricks for Barca

#Realmadrid
#Transfer
#Alexander https://t.co/2p5Ukhr4ll",1872927117740278183
1872925015395713146,"Not saying much 
""Royality Suits Him "" #RealMadrid https://t.co/lpHyhbB6PP",1872925015395713146
1872923459082444884,"#DaniCarvajal tells Esquire: “If I ever leave #RealMadrid, I will not play in Europe”.

“I will not compete against Real Madrid in the Champions League or in Spain. Joselu tells me: I'm waiting for you here. I'm saving the RB spot for you”. https://t.co/HpIPh2coJ0",1872923459082444884
1872923328127910283,"@FabrizioRomano Dani Carvajal to Esquire: 'If I ever leave Real Madrid, I will not play in Europe. I won't compete against Real Madrid in the Champions League or Spain. Joselu tells me: I'm waiting for you here, saving the RB spot for you.' ⚪️👑 #DaniCarvajal #RealMadrid #loyaltyprogram",1872923328127910283
1872922539434856520,"So, @realmadrid is ditching the Name 'Santiago' From New Stadium Name 'The Bernabeu'! Why?
Because SANTIAGO is a Male name and it's sexist, it would offend the new modern audience of the club of #RealMadrid! 
https://t.co/Urgsc5lX1v
There is only one name, it's #SantiagoBernabéu",1872922539434856520
1872921817205367043,"Marca today - #Liverpool fail with latest attempt to renew #Trent contract

https://t.co/NVW4n858yv

In response, he has told the Reds that he wants to sign for 
#RealMadrid 

New deal looks 'impossible'

#PremierLeague https://t.co/n2f1XoMx6v",1872921817205367043
1872917791994495234,"Real Madrid Triumphs at Globe Soccer Awards as Best Club of 2024, Read More: https://t.co/xO0X8usVgB #globesoccerawards2024 #realmadrid https://t.co/pO6ba3gNBC",1872917791994495234
